LICENSEE NAME,DOING BUSINESS AS,LICENSE #,LICENSE TYPE,EXPIRES,STREET ADDRESS,CITY,STATE,ZIP
GUTIERREZ FEDERICO,EL SABOR JEREZANO RESTAURANT 24-88860-0000 Hote,,l & Restaurant (city),,10/18/2021 10639 MELODY DR,Northglenn,CO,802334113
STARS 2 INC,EL SAMPA TAQUERIA-BAR,42-83173-0000 Tavern (city),,,01/11/2022 2321 WEST EVANS AVE,Denver,CO,802233818
EL SEGUNDO LLC,EL SEGUNDO,03-06082,Hotel & Restaurant (city),,04/06/2022 223 EAST GORE CREEK DRIVE,Vail,CO,81657
J & F RESTAURANTS LLC,EL SENOR SOL AND ILLEGAL BURGE42-95609-0000 Hotel & Restaurant (county),,,,"11/17/2021 29017 HOTEL WAY STE 102B, 103B, Evergreen",,CO,804398235
S S SANTA FE LLC,EL SENOR SOL REAL MEXICAN FOOD42-72569-0000 Hotel & Restaurant (city),,,,09/08/2021 6651 S UNIVERSITY BLVD,Centennial,CO,80121
DIAZ LLC,EL SUPER TACO,03-12779,Hotel & Restaurant (county),,03/15/2021 76 NORTH MCCULLOCH BLVD SUITEPueblo West,,CO,81007
VALODI INC DBA EL SUPER TACEL SUPER TACO,,03-04139,Hotel & Restaurant (city),,02/22/2022 2890 S ACADEMY BLVD,Colorado Springs,CO,80916
EL SUPER TACO MARISCOS LLCEL SUPER TACO MARISCOS,,03-07512,Hotel & Restaurant (city),,03/02/2022 6502 SOUTH ACADEMY BOULEVARDColorado Springs,,CO,80906
EL TACO AZTECA LLC,EL TACO AZTECA,41-63614-0000 Beer & Wine (city),,,10/05/2021 4275 W FLORIDA AVE,Denver,CO,802193735
EL TACO LOCO II LLC,EL TACO LOCO II,03-13253,Tavern (city),,07/23/2021 909 CARBONDALE DRIVE D,Dacono,CO,80514
GUERRERO CORRAL INC,EL TACO LOCO MEXICAN RESTAURA24-89763-0000 Hotel & Restaurant (city),,,,11/01/2021 644 S MAIN ST,Brighton,CO,806013046
VIGUA LLC,EL TAMARINDO RESTAURANTE,42-96181-0000 Hotel & Restaurant (city),,,09/11/2021 7700 E COLFAX AVE,Denver,CO,80220
AGLAHE INC,EL TAPATIO,42-78594-0000 Hotel & Restaurant (city),,,04/27/2021 5390 WADSWORTH BYPASS,Arvada,CO,80002
DELTA EL TAPATIO INC,EL TAPATIO,12-77930-0000 Hotel & Restaurant (city),,,08/19/2021 347 MAIN STREET,DELTA,CO,814161815
EL TAPATIO ALAMEDA INC,EL TAPATIO,03-06890,Hotel & Restaurant (city),,08/08/2021 7301 WEST ALAMEDA AVENUE UNITLakewood,,CO,80226
EL TAPATIO INC,EL TAPATIO,42-70084-0000 Hotel & Restaurant (city),,,07/26/2021 3601 S WADSWORTH BLVD,Lakewood,CO,802352102
EL TAPATIO LLC,EL TAPATIO,41-10845-0001 Hotel & Restaurant (city),,,08/01/2021 1145 NORTH AVE,Grand Junction,CO,815013142
EL TAPATIO LLC,EL TAPATIO,41-10845-0002 Hotel & Restaurant (city),,,03/25/2021 393 E 2ND ST UNIT #4,Parachute,CO,81635
EL TAPATIO MISSISSIPPI INC,EL TAPATIO,43-00854-0000 Hotel & Restaurant (city),,,04/09/2021 1080 SOUTH WADSWORTH BLVD,Lakewood,CO,802144308
EMILY INC,EL TAPATIO,42-87426-0000 Hotel & Restaurant (city),,,01/19/2022 588 SUMMIT BLVD,Broomfield,CO,800218219
FRUITA EL TAPATIO INC,EL TAPATIO,12-75742-0000 Hotel & Restaurant (city),,,03/27/2022 402 JURASSIC AVE,Fruita,CO,815217704
EL TAPATIO ARAPAHOE INC,EL TAPATIO MEXICAN RESTAURANT 43-03043-0000 Hotel & Restaurant (city),,,,06/05/2021 9281 E ARAPAHOE RD,Greenwood Village CO,,80112
EL TAPATIO GOLDEN INC,EL TAPATIO MEXICAN RESTAURANT 03-07869,,Hotel & Restaurant (city),,06/05/2021 714 GOLDEN RIDGE ROAD,Golden,CO,80401
EL TARAHUMARA MEXICAN RESEL TARAHUMARA,,03-09944,Hotel & Restaurant (city),,05/20/2021 1050 WEST COLFAX AVENUE SUITE Denver,,CO,80204
EL TEJADO BROADWAY INC,EL TEJADO RESTAURANT,03-04586,Hotel & Restaurant (city),,07/28/2021 2651 S BROADWAY,Denver,CO,80210
GRACIELA INC,EL TEPEHUAN RESTAURANT,03-03962,Hotel & Restaurant (city),,12/29/2021 3495 SOUTH BROADWAY,Englewood,CO,80113
EL AGAVE AZUL INC,EL TEQUILENO FAMILY MEXICAN RES42-29606-0000 Hotel & Restaurant (city),,,,09/18/2021 12391 WEST 64TH AVENUE,Arvada,CO,800044015
EL NOPAL INC,EL TEQUILENO FAMILY MEXICAN RES42-76422-0000 Hotel & Restaurant (city),,,,02/10/2022 1535 SOUTH KIPLING PARKWAY,Lakewood,CO,80232
EL TEQUILENO #1,EL TEQUILENO FAMILY MEXICAN RES42-52336-0000 Hotel & Restaurant (city),,,,12/17/2021 2790 S HAVANA ST #X1,AURORA,CO,800148601
EL TEQUILENO #4 LLC,EL TEQUILENO FAMILY MEXICAN RES03-10586,,Hotel & Restaurant (city),,01/02/2022 15900 WEST COLFAX AVENUE,Golden,CO,80401
EL TORITO # 3,EL TORITO 3,03-01478,Hotel & Restaurant (city),,06/06/2021 4978 LEETSDALE DR,Glendale,CO,80246
EL TORITO TAQUERIA Y MAS LLEL TORITO TAQUERIA Y MAS,,03-08259,Hotel & Restaurant (city),,07/13/2021 180 SOUTH UNION BOULEVARD UNILakewood,,CO,80228
EL TORO RESTAURANT INC,EL TORO RESTAURANT INC,02-75077-0000 Hotel & Restaurant (city),,,08/30/2021 4957 COLORADO BLVD,Denver,CO,802163115
CASA TRES AMIGOS LLC,EL VAQUERO,03-13565,Hotel & Restaurant (county),,08/03/2021 29231 CR 35,Wray,CO,80758
JOSE GONZALEZ & HILDA GONZEL WUATEKE,,03-05619,Hotel & Restaurant (city),,02/16/2022 208 WEST NORTHERN AVENUE,Pueblo,CO,81004
"EL ZECATECANO, LLC",EL ZACATECANO MEXICAN FOOD,03-12474,Hotel & Restaurant (county),,11/12/2021 189 TEN MILE CIRCLE,Copper Mountain,CO,80443
EL ZARAPE LLC,EL ZARAPE,03-07142,Hotel & Restaurant (city),,11/16/2021 1065 FEDERAL BLVD,Denver,CO,80204
GARLIS DANETTE L,ELAINE'S PLACE,40-23994-0000 Hotel & Restaurant (county),,,06/29/2021 17590 COUNTY ROAD T5,Fort Morgan,CO,807019429
ELLIOT SMITH DEVELOPMENT CELAN VINEYARDS,,03-12389,Winery Direct Shipper's Permit,,09/18/2021 4500 ATLAS PEAK ROAD,Napa,CA,94558
ELDA LIQUORS LLC,ELDA LIQUORS,03-10147,Liquor Store (city),,"06/13/2021 9676 EAST ARAPAHOE ROAD, SUITEGreenwood Village CO",,,80112
ELDORADO LIQUOR INC,ELDO WINE & SPIRITS,03-02440,Liquor Store (county),,02/10/2022 1807 FOOTHILLS HIGHWAY,Boulder,CO,80303
ELDORA ENTERPRISES LLC,ELDORA MOUNTAIN RESORT,03-07006,Hotel & Restaurant / Optional (c,,10/17/2021 2861 ELDORA SKI ROAD #140,Nederland,CO,80466
"GUTHRIE, LLC",ELEANOR FORT GREENE BAR,03-06207,Tavern (county),,04/05/2021 321 EAST 45TH AVENUE,Denver,CO,80216
ELECTRIC MOUNTAIN LODGE L ELECTRIC MOUNTAIN LODGE,,03-10645,Hotel & Restaurant (county),,10/23/2021 41338 ELECTRIC MOUNTAIN LANE Paonia,,CO,81428
ELEMENT 29 AT COPPER LLC ELEMENT 29 AT COPPER LLC,,03-14036,Tavern (county),,11/23/2021 670 COPPER ROAD,Copper Mountain,CO,80443
WILLITS BLOCK 12 LLC,ELEMENT BASALT-ASPEN,03-07182,Lodging & Entertainment (City),11/21/2021 499 MARKET STREET,Basalt,CO,81621
ELEMENT BISTRO LLC,ELEMENT BISTRO,03-06240,Hotel & Restaurant (city),05/16/2021 6315 LOOKOUT ROAD,Boulder,CO,80301
JL CO BEVERAGE LLC,ELEMENT BY WESTIN BOULDER/SUP03-10967,,Lodging & Entertainment (City),01/28/2022 1 SOUTH MARSHALL ROAD,Superior,CO,80027
TOWER HOTEL LLC,ELEMENT DENVER INTERATIONAL A 03-12980,,Lodging & Entertainment (City),05/17/2021 6672 NORTH TOWER ROAD,Denver,CO,80249
PEACHTREE HOSPITALITY MANELEMENT DENVER PARK MEADOWS 03-08800,,,Beer & Wine (city),01/23/2022 9985 PARK MEADOWS DRIVE,Lone Tree,CO,80124
SAZ INC.,ELEVATE GRILL & BAR,03-09669,Hotel & Restaurant (city),"11/22/2021 2831 WEST 120TH AVENUE, SUITE 2Westminster",,CO,80234
THE MERRY WIDOWS LLC,ELEVATED OLIVE OF STEAMBOAT,03-05547,Liquor Store (city),11/03/2021 708 LINCOLN AVENUE SUITE A,Steamboat Springs CO,,80487
ELEVATED PRIVATE CLUB LLC ELEVATED PRIVATE CLUB,,03-14226,Tavern (city),01/31/2022 1865 SKI TIME SQUARE DRIVE DN1CSteamboat Springs CO,,,80487
IFES SANDWICHES LLC,ELEVATED SANDWICHES,03-07813,Beer & Wine (city),04/12/2022 1612 NORTH COLLEGE AVE UNIT K Fort Collins,,CO,80524
5280 BEER COMPANY LLC,ELEVATED SELTZER,03-11780,Brew Pub (city),06/17/2021 5610 YUKON STREET,Arvada,CO,80002
"ELEVATION 5003 DISTILLERY, L ELEVATION 5003 DISTILLERY, LLC",,03-04618,Manufacturer (distillery & rectifie,"06/18/2021 2601 SOUTH LEMAY AVENUE, SUITEFort Collins",,CO,80525
"ELEVATION 5003 DISTILLERY, L ELEVATION 5003 DISTILLERY, LLC",,03-04617,Wholesale (vinous & spirituous),"06/18/2021 2601 SOUTH LEMAY AVENUE, SUITEFort Collins",,CO,80525
ELEVATION BEER COMPANY LLELEVATION BEER COMPANY,,25-61540-0001 Wholesale Beer (malt liquor),,01/10/2022 115 PAHLONE PKWY,Poncha Springs,CO,81242
ELEVATION BEER COMPANY LLELEVATION BEER COMPANY,,25-61540-0002 Manufacturer (brewery),,01/10/2022 115 PAHLONE PKWY,Poncha Springs,CO,81242
ELEVATION BOWL LLC,ELEVATION BOWL,03-12522,Lodging & Entertainment (City),"11/11/2021 135 MAIN STREET, UNIT B400",Dillon,CO,80435
ELEVATION LIQUORS INC,ELEVATION LIQUORS,42-80438-0000 Liquor Store (city),,07/12/2021 1904 WEST EISENHOWER BLVD,Loveland,CO,805373136
FRASER PIZZA CORPORATION ELEVATION PIZZA,,42-96630-0000 Hotel & Restaurant (city),,09/11/2021 551 ZEREX ST STE C-106,Fraser,CO,80442
"CLARKSBURG WINERY, INC.",ELEVATION TEN,03-14287,Winery Direct Shipper's Permit,"01/18/2022 35265 WILLOW AVENUE, SUITE 104 Clarksburg",,CA,95612
LEON DREIMANN & DAN SULLIVELEVATION WINE FUND LP,,03-12201,Importer (vinous & spirituous),08/21/2021 3291 ST HELENA HIGHWAY,Saint Helena,CA,94574
"ELEGANCE PROPERTIES, LLC ELEVEN ELEVEN WINES",,03-06435,Winery Direct Shipper's Permit,04/28/2021 620 TRANCAS STREET,Napa,CA,94558
ELINOFF GALLERY INC,ELINOFF & CO,03-11986,Art Gallery Permit,06/25/2021 204 WEST COLORADO AVE UNITS ATelluride,,CO,81435
ELITCH HOLDINGS LLC,ELITCH GARDENS,03-05516,Hotel & Restaurant (city),11/30/2021 2000 ELITCH CIRCLE,Denver,CO,80204
ELITE BRAND IMPORTS LLC,ELITE BRAND IMPORTS LLC,07-72100-0001 Importer (vinous & spirituous),,07/24/2021 3825 EMERALD,Kalamazoo,MI,490011892
C K L CORPORATION,ELITE BRANDS,26-69563-0000 Importer (malt liquor),,08/31/2021 3825 EMERALD DR.,Kalamazoo,MI,490011892
ELITE BRANDS OF COLORADO ELITE BRANDS OF COLORADO INC 26-44161-0001 Wholesale (vinous & spirituous,,,),01/15/2022 4780 HOLLY STREET,Denver,CO,80216
ELITE BRANDS OF COLORADO ELITE BRANDS OF COLORADO INC 26-44161-0002 Wholesale Beer (malt liquor),,,,01/15/2022 4780 HOLLY STREET,Denver,CO,80216
SAGE CLIENT 207 LLC AND FCMELIZABETH HOTEL THE,,03-08438,Hotel & Restaurant (city),08/30/2021 111 CHESTNUT STREET,Fort Collins,CO,80524
HEMISPHERE WINE COMPANY ELIZABETH SPENCER WINES,,28-73756-0000 Winery Direct Shipper's Permit,,02/07/2022 1165 RUTHERFORD RD,RUTHERFORD,CA,94573
B&C RESTAURANTS LLC,ELK AVENUE PRIME,03-03492,Hotel & Restaurant (city),09/23/2021 226 ELK AVENUE,Crested Butte,CO,81224
ASPEN SKIING COMPANY LLC ELK CAMP RESTAURANT,,26-09248-0051 Hotel & Restaurant / Optional (c,,04/29/2022 001 .9 EAST SNOWMASS SUMMER RSnowmass Village CO,,,81615
ELK COVE VINEYARDS,ELK COVE VINEYARDS,03-01578,Winery Direct Shipper's Permit,06/02/2021 27751 NW OLSON RD,Gaston,OR,97119
ELK CREEK MARINA LLC,ELK CREEK MARINA,04-00107,Fermented Malt Beverage Off (,06/03/2021 24830 US 50,Gunnison,CO,81230
ELK CREEK RANCH RESTAURA ELK CREEK RANCH RESTAURANT,,03-10709,Hotel & Restaurant (county),11/18/2021 1111 COUNTY ROAD 54,Meeker,CO,81641
ELK MEADOW RV ESSENTIAL GELK MEADOWS LODGE AND RV RESO03-07899,,,Beer & Wine (city),05/09/2022 1665 CO HIGHWAY 66,Estes Park,CO,80517
ELK MOUNTAIN LODGE IN CB INELK MOUNTAIN LODGE,,28-37492-0000 Hotel & Restaurant (city),,05/22/2021 129 GOTHIC AVE,CRESTED BUTTE CO,,81224
TEXELTAC INC,ELKHORN LIQUORS,10-97977-0000 Liquor Store (city),,04/09/2022 144 S GUNNISON AVE,Lake City,CO,81235
ELKHORN PIZZERIA LLC,ELKHORN PIZZERIA,03-12304,Hotel & Restaurant (city),10/02/2021 601 HIGHWAY 24 NORTH,Buena Vista,CO,81211
ELKINS DISTILLING COMPANY ELKINS WHISKEY,,03-05084,Manufacturer (distillery & rectifie,09/20/2021 1825 NORTH LAKE AVENUE,Estes Park,CO,80517
"ELKINS DISTILLING COMPANY, ELKINS WHISKEY",,03-06936,Wholesale (vinous & spirituous),09/15/2021 1825 NORTH LAKE AVENUE,Estes Park,CO,80517
BPOE LODGE,ELKS LODGE NO 506,07-05902-0002 Club License (city),,12/31/2021 104 S MAIN ST ELKS BLDG,Creede,CO,81130
ELKWOOD MANOR PAGOSA SPELKWOOD MANOR BED & BREAKFAS03-05126,,,Bed & Breakfast Permit,09/09/2021 85 EASY STREET,Pagosa Springs,CO,81147
"ELLA BLISS BEAUTY BAR - 3, LLELLA BLISS BEAUTY BAR",,03-06974,Beer & Wine (county),12/12/2021 3624 EAST HIGHLANDS RANCH PARHighlands Ranch,,CO,80126
ELLA BLISS BEAUTY BAR LLC ELLA BLISS BEAUTY BAR,,03-01720,Beer & Wine (city),08/07/2021 8575 EAST ARAPAHOE ROAD SUITE Greenwood Village CO,,,80112
ELLA BLISS BEAUTY BAR LLC ELLA BLISS BEAUTY BAR,,03-04305,Lodging & Entertainment (City),03/09/2021 640 BROADWAY,Denver,CO,80203
ANTOINETTE PARIS LLC,ELLINA,03-10372,Hotel & Restaurant (city),07/29/2021 430 EAST HYMAN AVENUE,Aspen,CO,81612
D MARTIN GROUP INC THE,ELLIOT'S MARTINI BAR,15-10079-0000 Tavern (city),,12/11/2021 234 LINDEN STREET,Fort Collins,CO,805242424
"ELLIS RANCH, INC",ELLIS RANCH EVENT CENTER & WED03-03616,,Tavern (county),10/23/2021 2331 ELLIS RANCH LANE,Loveland,CO,80538
ELLMAN FAMILY VINEYARDS LLELLMAN FAMILY VINEYARDS LLC,,03-10431,Winery Direct Shipper's Permit,08/12/2021 620 TRANCAS STREET,Napa,CA,94558
ELM STREET LIQUOR LLC,ELM STREET LIQUOR LLC,03-13982,Liquor Store (city),12/06/2021 201 ELM STREET,Sterling,CO,80751
"LITTLE PUB #6, LLC",ELM THE,41-30370-0000 Tavern (city),,10/30/2021 5001 E COLFAX AVE,Denver,CO,802201209
ELV-OREGON LLC,ELV-OREGON,03-05795,Winery Direct Shipper's Permit,12/22/2021 572 PATTERSON STREET NW SUITESalem,,OR,97304
DIA STEAKHOUSE LLC,ELWAY'S AT DIA,03-01503,Hotel & Restaurant (county),05/29/2021 8900 PENA BLVD CONCOURSE B R- Denver,,CO,80249
7 RETURNS LLC,ELWAY'S RESTAURANT,42-96041-0000 Hotel & Restaurant (city),,09/13/2021 174 E GORE CREEK DR UNIT B,Vail,CO,816574511
98-99 LLC,ELWAY'S RESTAURANT,25-38211-0000 Hotel & Restaurant (city),,09/14/2021 2500 E 1ST AVE #B101,Denver,CO,802065631
HQ WINERY LLC,ELYSE WINERY,03-12149,Winery Direct Shipper's Permit,08/05/2021 2100 HOFFMAN LANE,Napa,CA,94558
ELYSIAN BREWING COMPANY I ELYSIAN BREWING COMPANY INC,,12-78703-0001 Nonresident Manufacturer (malt,,09/22/2021 5510 AIRPORT WAY S,Seattle,WA,98108
"SAGE CLIENT 499, LLC",EMBASSY SUITES AND HILTON GARD03-07969,,Hotel & Restaurant (city),05/21/2021 2601 & 2701 CANYON BLVD,Boulder,CO,80303
DENVER MANAGEMENT INC.,EMBASSY SUITES BY HILTON DENVE15-07359-0000 Hotel & Restaurant (city),,,05/04/2021 4444 N HAVANA ST,Denver,CO,80239
YAMPA BEVERAGE SERVICES I EMBASSY SUITES BY HILTON DENVE03-10443,,,Hotel & Restaurant (city),01/15/2022 7001 YAMPA STREET,Denver,CO,80249
JDHQ HOTELS LLC,EMBASSY SUITES BY HILTON LOVEL 03-11210,,Hotel & Restaurant (city),04/16/2022 4705 CLYDESDALE PARKWAY,Loveland,CO,80538
"EAST HAMPDEN HOTEL OPCO, EMBASSY SUITES DENVER TECH CE03-11138",,,Hotel & Restaurant (city),01/29/2022 7525 EAST HAMPDEN AVENUE,Denver,CO,80231
DENVER DOWNTOWN 2 HOTEL EMBASSY SUITES DENVER-DOWNTO03-05634,,,Hotel & Restaurant (city),12/14/2021 1420 STOUT STREET,Denver,CO,80202
RT COSTILLA ASSOCIATES LLCEMBASSY SUITES DENVER-TECH CE26-75720-0000 Hotel & Restaurant (city),,,,09/19/2021 10250 E COSTILLA AVE,Centennial,CO,801123716
COMMERCE CENTER HOTEL OPEMBASSY SUITES HOTEL,,03-11418,Hotel & Restaurant (city),03/19/2021 7290 COMMERCE CENTER DRIVE,Colorado Springs,CO,80919
PRODIGAL SEED INC,EMBER,35-28816-0000 Hotel & Restaurant (city),,12/13/2021 106 E ADAMS AVE,Breckenridge,CO,80424
EIR LTD,EMERALD ISLE RESTAURANT,03-05723,Tavern (county),12/29/2021 4385 SOUTH PARKER ROAD,Aurora,CO,80015
JACKALOPE RANCH LLC,"EMERGE MODERN SALON, MODERN 03-10309",,Beer & Wine (city),09/10/2021 2749 SOUTH BROADWAY,Englewood,CO,80113
EMILIO'S ALMOST FAMOUS INC EMILIO'S ALMOST FAMOUS,,03-02971,Hotel & Restaurant (city),05/13/2021 10081 WADSWORTH PKWY SUITE 13Westminster,,CO,80021
EMINENT DOMAINE LLC,EMINENT DOMAINE,03-09341,Winery Direct Shipper's Permit,02/07/2022 20875 NE RIBBON RIDGE ROAD,Newberg,OR,97132
"EMMALEE'S HOUSE, INC.",EMMALEE'S HOUSE,03-09799,Hotel & Restaurant (city),08/13/2021 3500 MORRISON ROAD,Denver,CO,80219
EMMA'S LLC,EMMA'S LLC,03-09860,Hotel & Restaurant (city),05/29/2021 924 MAIN STREET,Alamosa,CO,81101
EMMOLO RIVER RANCH LLC,EMMOLO,03-11296,Winery Direct Shipper's Permit,02/13/2022 2650 CORDELIA ROAD,Fairfield,CA,94534
"GOOSE EGG, LLC",EMPATHY WINES,03-10974,Winery Direct Shipper's Permit,12/12/2021 110-122 CAMINO ORUGA,Napa,CA,94558
SCOTT WANG INC,EMPEROR PALACE,03-07510,Hotel & Restaurant (city),02/05/2022 6700 WEST 120TH AVENUE,Broomfield,CO,80020
RED FLAME CONCEPTS INC,EMPIRE BURGER,28-40980-0000 Hotel & Restaurant (city),,11/27/2021 500 S MAIN ST UNIT 2H,Breckenridge,CO,80424
EMPIRE DISTRIBUTORS OF COLEMPIRE DISTRIBUTORS OF COLORA 40-81827-0000 Wholesale (vinous & s,,,pirituous),04/11/2022 5301 PEORIA ST STE A,Denver,CO,80239
EMPIRE DISTRIBUTORS OF COLEMPIRE DISTRIBUTORS OF COLORA 03-00914,,,Wholesale Beer (malt liquor),03/17/2021 5301 PEORIA ST STE A,Denver,CO,80239
QUIK-WAY RETAIL ASSOCIATESEMPIRE FAST FUELS,,04-00335,Fermented Malt Beverage Off (city),6601 W 44TH AVE,Wheat Ridge,CO,80033
QUIK-WAY RETAIL ASSOCIATESEMPIRE FAST FUELS (TBD),,04-00344,Fermented Malt Beverage Off (city),12300 WEST 44TH AVENUE,Wheat Ridge,CO,80033
EMPIRE LIQUORS LLC,EMPIRE LIQUORS,03-11021,Liquor Store (city),04/22/2021 3381 NORTH ACADEMY BLVD,Colorado Springs,CO,80917
EAT DRINK LLC,EMPIRE RESTAURANT & LOUNGE,42-55821-0000 Hotel & Restaurant (city),,01/14/2022 816 MAIN ST,Louisville,CO,800271832
A.F. RAY'S BARCADE LLC,EMPIRE STATE PIZZA,13-80637-0000 Hotel & Restaurant (city),,12/20/2021 2700 S 8TH AVE,Garden City,CO,806318414
EMPORIUM SPORTS BAR LLC EMPORIUM SPORTS BAR,,03-09498,Tavern (city),06/19/2021 925 SOUTH TAFT HILL ROAD SUITE Fort Collins,,CO,80521
MIYAKO INC,EMPRESS,03-05737,Hotel & Restaurant (city),12/16/2021 720 LINCOLN AVENUE,Steamboat Springs CO,,80487
EMPRESS SEAFOOD RESTAURAEMPRESS SEAFOOD RESTAURANT IN02-79974-0000 Hotel & Restaurant (city),,,,08/12/2021 2825 W ALAMEDA AVE,Denver,CO,80219
EMPSON (USA) INC,EMPSON (USA) INC,07-28742-0000 Importer (vinous & spirituous),,09/08/2021 719 PRINCE ST,Alexandria,VA,223143004
EN EL PUERTO VALLARTA LLC EN EL PUERTO VALLARTA,,03-02873,Hotel & Restaurant (city),05/04/2021 9538 EAST MONTVIEW BLVD,Aurora,CO,80010
BELLEG WINE CELLARS INC,EN GARDE WINERY,14-69184-0000 Winery Direct Shipper's Permit,,04/17/2021 13101 ARNOLD DRIVE,Glen Ellen,CA,954421111
END OF THE TRAIL LLC,END OF THE TRAIL LLC,41-88596-0000 Tavern (city),,12/14/2021 653 CEDAR ST,Hudson,CO,80642
ENDLESS ENDEAVOR WINERY AENDLESS ENDEAVOR WINERY,,03-08713,Limited Winery,04/11/2022 15566 FIRE MOUNTAIN ROAD,Paonia,CO,81428
"DENVER MILK MARKET, LLC",ENGINE ROOM,03-09555,Hotel & Restaurant (city),"04/23/2022 1850 WAZEE STREET, SUITE 150",Denver,CO,80202
ENGLEWOOD GRAND INC,ENGLEWOOD GRAND,03-05420,Tavern (city),11/12/2021 3435 SOUTH BROADWAY,Englewood,CO,80113
DHILLON & DHILLON INC,ENGLEWOOD LIQUOR,42-49341-0000 Liquor Store (city),,06/21/2021 3531 S LOGAN ST UNIT K,Englewood,CO,801133700
BPOE LODGE NO 2122,ENGLEWOOD LODGE,11-11928-0001 Club License (city),,12/31/2021 3690 S JASON ST,Englewood,CO,801103442
VETERANS OF FOREIGN WARS ENGLEWOOD POST #322,,42-86911-0000 Tavern (city),,09/22/2021 3800 S WINDERMERE ST,Englewood,CO,80110
HBF VENTURES LLC,ENGLEWOOD TAVERN,03-08608,Tavern (city),10/25/2021 4386 SOUTH BROADWAY,Englewood,CO,80113
"SHCJ ENTERPRISES, INC",ENGLEWOOD WINE & SPIRITS,03-04385,Liquor Store (city),"06/03/2021 2709 SOUTH BROADWAY, UNITS A - Englewood",,CO,80113
WORLDWIND INVESTMENT GROENGLISH DOCKSIDE FRESH SEAFOO03-02902,,,Hotel & Restaurant (city),05/01/2021 1201 WEST COLORADO AVENUE,Colorado Springs,CO,80904
ENOTEC IMPORTS INC,ENOTEC IMPORTS,03-12054,Importer (vinous & spirituous),07/22/2021 5500 GREENWOOD PLAZA BLVD,Greenwood Village CO,,80111
METROPOLE LLC,ENTERPRISE BAR & GRILL,03-08195,Hotel & Restaurant (city),09/26/2021 3 NORTH GLASGO AVENUE,Rico,CO,81332
DAWNETT & STEVE ENTERPRISENTERPRISE LIQUOR,,24-80089-0000 Liquor Store (county),,07/22/2021 2923 NORTH AVENUE #7,Grand Junction,CO,815014977
ENVY BREWING INC,ENVY BREWING,03-10818,Brew Pub (city),12/19/2021 3027 EAST HARMONY ROAD SUITE 2Fort Collins,,CO,80528
MSIR LLC,ENZA'S ALL EVENTS CATERING,03-14590,Hotel & Restaurant (city),03/30/2022 358 BLUE RIVER PKWY UNIT A,Silverthorne,CO,80498
YUMMY LLC,ENZO'S PIZZERIA & ITALIAN CAFE,03-09180,Hotel & Restaurant (city),05/20/2022 707 HORIZON DRIVE,Grand Junction,CO,81506
EOLA HILLS WINE CELLARS INCEOLA HILLS WINE CELLARS,,03-11483,Winery Direct Shipper's Permit,"03/27/2022 501 SOUTH PACIFIC HIGHWAY, 99W Rickreall",,OR,97371
"EOLUS BAR & DINING, LLC",EOLUS BAR & DINING,15-79161-0000 Hotel & Restaurant (city),,02/28/2022 919 MAIN AVE,Durango,CO,813015121
FOLEY FAMILY WINESINC,EOS,28-67710-0004 Winery Direct Shipper's Permit,,04/20/2022 2300 AIRPORT RD,Paso Robles,CA,934468549
EPIC BREWING COMPANY LLC EPIC BREWING COMPANY & PAKKA H14-68034-0000 Nonresident Manufacturer (mal,,,t,01/13/2022 825 S STATE ST,Salt Lake City,UT,841114207
"EPIC BREWING COMPANY, LLC EPIC BREWING COMPANY & PAKKA H03-01189",,,Wholesale Beer (malt liquor),04/25/2022 4600 JOLIET STREET,Denver,CO,80239
"EPIC BREWING COMPANY, LLC EPIC BREWING COMPANY & PAKKA H03-01190",,,Manufacturer (brewery),04/25/2022 3001 - 3025 WALNUT STREET,Denver,CO,80205
THE EGG & I GREELEY INC,EPIC EGG,03-10534,Hotel & Restaurant (city),10/10/2021 3830 W 10TH STREET #C-1,Greeley,CO,80634
THE EGG & I GREELEY INC,EPIC EGG,03-10535,Hotel & Restaurant (city),10/10/2021 2305 W 27TH STREET #509A,Greeley,CO,80634
EPICUREAN CATERING LLC,EPICUREAN,03-08733,Hotel & Restaurant (city),01/04/2022 100 WEST 14TH AVENUE PARKWAY Denver,,CO,80204
EPICUREAN ENTERTNMNT LLC EPICUREAN SPORTS ENTERPRISES 40-67875-0000 Hotel & Restaurant / Optional (,,,c,"08/06/2021 1801 BRYANT ST, #600",Denver,CO,802041759
ARMSTRONG VINEYARDS INC EPOCH ESTATE WINES,,12-78677-0000 Winery Direct Shipper's Permit,,08/28/2021 7575 YORK MOUNTAIN RD,Templeton,CA,93465
EQUINOX BREWING COMPANY EQUINOX BREWING COMPANY INC 25-54716-0002 Wholesale Beer (malt liquor),,,,04/05/2022 133 REMINGTON STREET,FT COLLINS,CO,805242833
EQUINOX BREWING COMPANY EQUINOX BREWING COMPANY INC 25-54716-0001 Manufacturer (brewery),,,,04/05/2022 133 REMINGTON STREET,FT COLLINS,CO,805242833
STE MICHELLE WINE ESTATES ERATH WINERY,,80-23091-0008 Winery Direct Shipper's Permit,,11/26/2021 6457 SE AMITY ROAD,Amity,OR,97101
SUTHITHANIN ARTHURARTON ERAWAN CAFE,,21-14568-0000 Beer & Wine (city),,11/26/2021 3919 E 8TH AVE,Denver,CO,802064007
