LICENSEE NAME,DOING BUSINESS AS,LICENSE #,LICENSE TYPE,EXPIRES,STREET ADDRESS,CITY,STATE,ZIP
1874 DISTILLING LTD.,1874 DISTILLING LTD.,03-12849,Wholesale (vinous & spirituous),,03/31/2021 645 GRAND AVENUE,Del Norte,CO,81132
1874 DISTILLING LTD.,1874 DISTILLING LTD.,03-12848,Manufacturer (distillery & rectifie,,03/31/2021 645 GRAND AVENUE,Del Norte,CO,81132
1914 HOUSE LLC,1914 HOUSE,03-05479,Hotel & Restaurant (county),,10/20/2021 121 2ND AVENUE,Niwot,CO,80544
SLGG LLC DBA ZWEI BREWING1933 BREWING COMPANY LLC,,03-05687,Alternating Proprietor Premises,,4612 SOUTH MASON STREET SUITEFort Collins,,CO,80525
DOUBLE W INCORPORATED,19TH STREET DINER,42-43864-0000 Hotel & Restaurant (city),,,04/04/2021 1908 GRAND AVENUE,Glenwood Springs CO,,816014114
ARAMARK SPORTS & ENTRMNT1ST BANK CENTER,,01-66811-0045 Hotel & Restaurant / Optional (c,,,02/16/2022 11450 BROOMFIELD LANE,Broomfield,CO,800217904
1ST STOP GAS & FOOD MART IN1ST STOP GAS & FOOD MART,,04-00739,Fermented Malt Beverage Off (,,05/01/2021 605 GARRISON STREET,Lakewood,CO,80215
NU INC,1ST STREET LIQUORS,43-02368-0000 Liquor Store (city),,,08/14/2021 1104 E 1ST STREET,Loveland,CO,805375832
RACE-O-RAMA IN THE ROCKIES1UP GREENWOOD VILLAGE,,03-10193,Hotel & Restaurant (city),,07/05/2021 6864 SOUTH CLINTON COURT,Greenwood Village CO,,80112
2 CHICKS & A HIPPIE LLC,2 CHICKS & A HIPPIE,03-10498,Hotel & Restaurant (county),,10/08/2021 117 NAVAJO TRAIL DRIVE SUITE A Pagosa Springs,,CO,81147
2 CORONAS INC.,2 CORONAS,03-01962,Hotel & Restaurant (city),,09/29/2021 201 W MAIN ST,New Castle,CO,81647
2 HAWK LLC,2 HAWK VINEYARD AND WINERY,03-07712,Winery Direct Shipper's Permit,,03/01/2022 2335 NORTH PHOENIX ROAD,Medford,OR,97504
TWO LADS LLC,2 LADS,03-05788,Winery Direct Shipper's Permit,,12/16/2021 16985 SMOKEY HOLLOW ROAD,Traverse City,MI,49686
AZTECA LLC,2 LUCHOS RESTAURANT,03-07259,Hotel & Restaurant (city),,12/18/2021 2810 SOUTH ACADEMY BOULEVARDColorado Springs,,CO,80916
SPRUCE MOUNTAIN MANAGEM 20 MILE TAP HOUSE,,03-01403,Hotel & Restaurant (city),,05/22/2021 12543 NORTH HIGHWAY 83 UNIT 202Parker,,CO,80134
A TRIBUTE TO GRACE WINE CO2015,,03-13263,Winery Direct Shipper's Permit,,04/22/2021 9050 SAN ANTONIO ROAD,Santa Maria,CA,93455
21 HOLDINGS LLC,21 HOLDINGS,03-14605,Importer (vinous & spirituous),,03/30/2022 501 CONDE STREET,West Chicago,IL,60185
212 PIZZA COLORADO LLC,212 PIZZA CO,03-12787,Hotel & Restaurant (city),,01/27/2022 848 NORTH RIDGE ROAD UNIT F,Castle Rock,CO,80104
FERRARO ARTHUR A JR FERRA216 FERRAROS,,15-76846-0000 Hotel & Restaurant (city),,,06/20/2021 216 NORTH F ST,Salida,CO,812012107
GOODALL LLC,221 SOUTH OAK STREET,03-91072-0000 Hotel & Restaurant (city),,,10/09/2021 221 SOUTH OAK,Telluride,CO,81435
ANUREET KAUR LLC,23RD AVENUE LIQUORS,03-08160,Liquor Store (city),,10/04/2021 3210 23RD AVENUE,Evans,CO,80620
KIDD AND CO. LLC,24 CARROT BISTRO,03-04682,Hotel & Restaurant (city),,06/23/2021 578 BRIGGS STREET,Erie,CO,80516
A VISA INC,240 UNION RESTAURANT,24-17234-0000 Hotel & Restaurant (city),,,05/01/2021 240 UNION BLVD,Lakewood,CO,802281806
257 COUNTRYSIDE LIQUORS LL257 COUNTRYSIDE LIQUORS,,03-09378,Liquor Store (city),,07/01/2021 23175 HIGHWAY 257,Milliken,CO,80543
HENSLEY MUSIAL CORP,287 CRAFT SPIRITS,41-37870-0000 Delivery Permit,,,5846 S COLLEGE AVE,Fort Collins,CO,805253950
HENSLEY MUSIAL CORP,287 CRAFT SPIRITS,41-37870-0000 Liquor Store (city),,,06/16/2021 5846 S COLLEGE AVE,Fort Collins,CO,805253950
"HYUNWOO VISIONS, INC.",287 LIQUOR,03-05255,Liquor Store (city),,11/12/2021 1140 HIGHWAY 287 #500,Broomfield,CO,80020
29TH STREET ENERGY CAFE LL29TH STREET ENERGY CAFE,,42-75772-0000 Hotel & Restaurant (city),,,12/17/2021 1821 30TH ST,Boulder,CO,80301
WING SHACK ENTERPRISES INC29TH STREET WING SHACK,,03-07699,Beer & Wine (city),,04/03/2022 158 29TH STREET,Loveland,CO,80538
TFG'S LLC,2ND DELI,03-09829,Hotel & Restaurant (city),,04/24/2021 601 EAST 2ND AVENUE SUITE D,Durango,CO,81301
3 BADGE BEVERAGE CORPORA3 BADGE BEVERAGE,,03-14438,Winery Direct Shipper's Permit,,03/09/2022 22097 BONNESS ROAD BLDG A&B Sonoma,,CA,95476
THREE FREAKS BREWERY LLC 3 FREAKS BREWERY,,03-09162,Wholesale Beer (malt liquor),,12/06/2021 7140 EAST COUNTY LINE ROAD,Highlands Ranch,CO,80126
THREE FREAKS BREWERY LLC 3 FREAKS BREWERY,,03-09161,Manufacturer (brewery),,12/06/2021 7140 EAST COUNTY LINE ROAD,Highlands Ranch,CO,80126
3 HUNDRED LLC,3 HUNDRED DAYS DISTILLING,03-03179,Wholesale (vinous & spirituous),,07/13/2021 279 BEACON LITE RD,Monument,CO,80132
3 HUNDRED LLC,3 HUNDRED DAYS DISTILLING,03-03188,Manufacturer (distillery & rectifie,,07/13/2021 279 BEACON LITE RD,Monument,CO,80132
BACK EAST BAR AND GRILL DE 3 KILTS TAVERN,,03-04188,Hotel & Restaurant (city),,03/03/2021 1600 CHAMPA ST #245,Denver,CO,80202
3 margaritas sh inc,3 MARGARITAS,03-04974,Hotel & Restaurant (city),,09/08/2021 25791 E SMOKY HILL RD #100,Aurora,CO,80016
AXTLAN INC,3 MARGARITAS,12-44458-0000 Hotel & Restaurant (city),,,05/02/2022 1417 CHEYENNE AVENUE,Loveland,CO,805384226
